date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:36	43157/43157	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2014:26:33%20GMT	http://ethicsfordesign.com/fr	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/fr.html	(from )
16:26:36	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Oct%202017%2014:26:34%20GMT	http://ethicsfordesign.com/robots.txt		(from )
16:26:37	3743/3743	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Sep%202017%2011:56:59%20GMT	http://ethicsfordesign.com/favicon-16x16.png	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/favicon-16x16.png	(from http://ethicsfordesign.com/fr)
16:26:37	4190/4190	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Sep%202017%2011:56:59%20GMT	http://ethicsfordesign.com/favicon-64x64.png	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/favicon-64x64.png	(from http://ethicsfordesign.com/fr)
16:26:37	3859/3859	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Sep%202017%2011:56:59%20GMT	http://ethicsfordesign.com/favicon-32x32.png	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/favicon-32x32.png	(from http://ethicsfordesign.com/fr)
16:26:37	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Wed,%2013%20Sep%202017%2011:56:59%20GMT	http://ethicsfordesign.com/favicon.ico	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/favicon.ico	(from http://ethicsfordesign.com/fr)
16:26:38	25955/25955	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Sep%202017%2009:47:28%20GMT	http://ethicsfordesign.com/assets/css/styles.min.1506073648.css	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/assets/css/styles.min.1506073648.css	(from http://ethicsfordesign.com/fr)
16:26:38	6129/6129	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Sep%202017%2012:02:24%20GMT	http://ethicsfordesign.com/assets/images/circles/Circle-1.png	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/assets/images/circles/Circle-1.png	(from http://ethicsfordesign.com/fr)
16:26:38	13694/13694	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Sep%202017%2012:02:24%20GMT	http://ethicsfordesign.com/assets/images/circles/Circle-2.png	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/assets/images/circles/Circle-2.png	(from http://ethicsfordesign.com/fr)
16:26:40	12672/12672	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Sep%202017%2012:02:25%20GMT	http://ethicsfordesign.com/assets/images/circles/Circle-3.png	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/assets/images/circles/Circle-3.png	(from http://ethicsfordesign.com/fr)
